,concept:name,org:resource,Activity,Resource,elementId,start_timestamp,time:timestamp,@@duration,@@approx_bh_partial_cycle_time,@@approx_bh_partial_lead_time,@@approx_bh_overall_wasted_time,@@approx_bh_this_wasted_time,@approx_bh_ratio_cycle_lead_time,case:concept:name,case:variant,case:variant-index,case:creator,case:processId,resourceId,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,@@startevent_elementId,@@startevent_resourceId
25,receiveTempMeasure,TempSens-000009,receiveTempMeasure,TempSens-000009,Activity_1wugku2,2022-02-28 10:00:27.459000+01:00,2022-02-28 10:00:27.925000+01:00,0.466,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_0e58b448-3c97-7d41-24c3-4036df0a56a9,receiveTempMeasure,TempSens-000009,receiveTempMeasure,TempSens-000009,Activity_1wugku2,qbp_0e58b448-3c97-7d41-24c3-4036df0a56a9
26,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,2022-02-28 10:00:27.925000+01:00,2022-02-28 10:00:28.319000+01:00,0.394,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
27,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,2022-02-28 10:00:28.319000+01:00,2022-02-28 10:00:28.423000+01:00,0.104,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
28,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,2022-02-28 10:00:31.990000+01:00,2022-02-28 10:00:32.253000+01:00,0.263,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
29,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,2022-02-28 10:00:34.256000+01:00,2022-02-28 10:00:34.292000+01:00,0.036,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
30,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,2022-02-28 10:00:34.292000+01:00,2022-02-28 10:00:34.656000+01:00,0.364,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
31,EVENT12END,,EVENT12END,,Event_0gu15f7,2022-02-28 10:00:34.656000+01:00,2022-02-28 10:00:34.656000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
32,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,2022-02-28 10:00:37.775000+01:00,2022-02-28 10:00:37.927000+01:00,0.152,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
33,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,2022-02-28 10:00:43.012000+01:00,2022-02-28 10:00:43.276000+01:00,0.264,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
34,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,2022-02-28 10:00:45.060000+01:00,2022-02-28 10:00:45.375000+01:00,0.315,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
